year,contract_month,client_segment_id,customer_type_id,entity_id,family_id,counterpart_id,contract_collateral_type,local_curr_orig_risk_amount,euribor_12m_pct,euribor_3m_pct,tedr_pct,spread_pct,spread_pct_real,ref_pct,m_freq,inflation_rate,gdp_growth,unemployment_rate,euribor_ref_pct,log_importe,euribor_sq,tedr_pred_pct
2010,9,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,2649.23,1.42,,19.2937,16.352,16.352,1.42,12,1.8,-0.05,20.08,1.42,7.882401707666851,2.0164,4.249563696763504
2010,10,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,372103.88,1.495,,2.636,1.11,1.11,1.495,12,1.8,0.07,20.21,1.495,12.826931029002814,2.2350250000000003,4.1490340238856245
2010,7,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,92826.95,,0.849,3.7807,2.885,2.885,0.849,3,1.8,-0.05,20.08,0.849,11.438503058771918,0.7208009999999999,4.249563696763504
2010,6,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,13509.75,1.281,,6.7012,5.223,5.223,1.281,12,1.8,0.21,19.91,1.281,9.511240943847127,1.640961,4.0317494055281
2010,6,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,2025.82,1.281,,19.1504,16.369,16.369,1.281,12,1.8,0.21,19.91,1.281,7.614223341324926,1.640961,4.0317494055281
2010,11,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,4225.03,1.54,,19.3392,16.271,16.271,1.54,12,1.8,0.07,20.21,1.54,8.349018297062305,2.3716,4.1490340238856245
2010,7,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,268836.0,1.373,,2.4589,1.059,1.059,1.373,12,1.8,-0.05,20.08,1.373,12.501860526967928,1.885129,4.249563696763504
2010,11,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,7990.71,1.54,,7.1924,5.426,5.426,1.54,12,1.8,0.07,20.21,1.54,8.98616003338374,2.3716,4.1490340238856245
2010,12,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,136296.41,,1.022,3.9614,2.888,2.888,1.022,3,1.8,0.07,20.21,1.022,11.822594615303053,1.044484,4.1490340238856245
2010,10,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,5771.01,1.495,,19.316,16.296,16.296,1.495,12,1.8,0.07,20.21,1.495,8.660775652393994,2.2350250000000003,4.1490340238856245
2010,9,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,25919.02,1.42,,7.2314,5.582,5.582,1.42,12,1.8,-0.05,20.08,1.42,10.162770922070852,2.0164,4.249563696763504
