year,contract_month,client_segment_id,customer_type_id,entity_id,family_id,counterpart_id,contract_collateral_type,local_curr_orig_risk_amount,euribor_12m_pct,euribor_3m_pct,tedr_pct,spread_pct,spread_pct_real,ref_pct,m_freq,inflation_rate,gdp_growth,unemployment_rate,euribor_ref_pct,tiene_euribor_12m,tiene_euribor_3m,spread_pred,tin_pred_dec,tedr_pred_pct
2010,6,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,131133.32,1.281,,2.3586,1.052,1.052,1.281,12,1.8,0.21,19.91,1.281,1,0,0.5759178635419104,0.018569178635419105,1.8728036598428366
2010,4,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_FIJO,INMUEBLES,132798.92,1.225,,2.4512,1.199,1.199,1.225,12,1.8,0.21,19.91,1.225,1,0,0.5779083397323865,0.018029083397323866,1.8178812294192381
2010,10,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,2753.28,1.495,,19.316,16.296,16.296,1.495,12,1.8,0.07,20.21,1.495,1,0,14.565182816051795,0.16060182816051793,17.296721041784213
2010,9,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),11633129.28,,0.88,2.2169,1.321,1.321,0.88,3,1.8,-0.05,20.08,0.88,0,1,1.1765703644525405,0.020565703644525403,2.070700852319951
2010,6,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,80953.92,,0.728,3.6476,2.876,2.876,0.728,3,1.8,0.21,19.91,0.728,0,1,1.2324019183494805,0.019604019183494803,1.973240408283905
2010,8,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,7653.25,1.421,,7.107,5.464,5.464,1.421,12,1.8,-0.05,20.08,1.421,1,0,4.519592538822289,0.0594059253882229,6.105040392179872
2010,7,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,4036.71,1.373,,19.0675,16.207,16.207,1.373,12,1.8,-0.05,20.08,1.373,1,0,14.632325479199755,0.16005325479199756,17.233240734568
2010,8,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,25422.54,,0.896,3.7607,2.819,2.819,0.8960000000000001,3,1.8,-0.05,20.08,0.896,0,1,1.199395916670844,0.02095395916670844,2.110065605057021
2010,9,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),2126923.22,,0.88,2.2169,1.321,1.321,0.88,3,1.8,-0.05,20.08,0.88,0,1,1.1703679362096449,0.020503679362096447,2.064413223509831
2010,9,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),12145643.34,,0.88,2.2169,1.321,1.321,0.88,3,1.8,-0.05,20.08,0.88,0,1,1.177719400971577,0.02057719400971577,2.0718657010978525
2010,6,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),11863055.5,,0.728,2.3818,1.635,1.635,0.728,3,1.8,0.21,19.91,0.728,0,1,1.178267058617852,0.01906267058617852,1.9184055615262263
2010,7,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,4385.18,1.373,,19.0675,16.207,16.207,1.373,12,1.8,-0.05,20.08,1.373,1,0,14.633845066501342,0.1600684506650134,17.23499876010919
2010,7,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,2416.49,1.373,,19.0675,16.207,16.207,1.373,12,1.8,-0.05,20.08,1.373,1,0,14.614026831347612,0.15987026831347612,17.212072745862873
2010,4,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,13968.65,1.225,,9.251,7.655,7.655,1.225,12,1.8,0.21,19.91,1.225,1,0,4.503210791964571,0.05728210791964572,5.881019814872657
2010,12,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,2469.82,1.526,,19.3205,16.269,16.269,1.526,12,1.8,0.07,20.21,1.526,1,0,14.536816173361155,0.16062816173361155,17.299769126353958
2010,8,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,34571.13,1.421,,7.107,5.464,5.464,1.421,12,1.8,-0.05,20.08,1.421,1,0,4.519369846653347,0.05940369846653347,6.104805268780944
2010,11,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,5081.74,1.54,,19.3392,16.271,16.271,1.54,12,1.8,0.07,20.21,1.54,1,0,14.543976283038456,0.16083976283038456,17.324264376127463
2010,6,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,33557.18,1.281,,6.7012,5.223,5.223,1.281,12,1.8,0.21,19.91,1.281,1,0,4.479472241924742,0.05760472241924741,5.915021288094846
