year,contract_month,client_segment_id,customer_type_id,entity_id,family_id,counterpart_id,contract_collateral_type,local_curr_orig_risk_amount,euribor_12m_pct,euribor_3m_pct,tedr_pct,spread_pct_real,ref_pct,m_freq,euribor_ref_pct,tiene_euribor_12m,tiene_euribor_3m,spread_pred,tin_pred_dec,tedr_pred_pct
2010,11,PARTICULARES,PERSONA F,BANCO COMERCIAL,TARJETA,TARJETA_CLASICA,NINGUNO,1229.12,1.54,,19.3392,16.271,1.54,12,1.54,1,0,14.909079999999987,0.16449079999999985,17.74765285186013
2010,5,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,151782.02,1.249,,2.4174,1.142,1.249,12,1.249,1,0,0.5970000000000009,0.01846000000000001,1.8616990654399812
2010,12,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),13161358.59,,1.022,2.5807,1.537,1.022,3,1.022,0,1,1.2021599999999995,0.022241599999999993,2.2406903763140917
2010,11,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,142396.6,1.54,,2.6568,1.085,1.54,12,1.54,1,0,0.5174300000000008,0.02057430000000001,2.0769426425927495
2010,8,CORPORATIVO,JU,BANCA E INVERSION/MAYORISTA,SINDICA,PRESTAMO SINDICADO,MOBILIARIA(ACCIONES/FONDO),14257409.13,,0.896,2.3326,1.419,0.8960000000000001,3,0.896,0,1,1.1658100000000005,0.020618100000000007,2.0760126641018006
2010,9,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,73828.27,,0.88,3.7754,2.849,0.88,3,0.88,0,1,1.1944099999999995,0.020744099999999994,2.0887869841347495
2010,9,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,14149.66,1.42,,7.2314,5.582,1.42,12,1.42,1,0,4.786999999999992,0.06206999999999992,6.386661676698591
2010,6,PYMES,JU,BANCO COMERCIAL,COMERC,LINEA DE CREDITO,PERSONAL,24566.79,,0.728,3.6476,2.876,0.728,3,0.728,0,1,1.2489999999999981,0.019769999999999982,1.9900570491179215
2010,9,PARTICULARES,PERSONA F,FINANCIERA DE CONSUMO,PRESTAMOS,PRESTAMO_PERSONAL,PERSONAL,29672.62,1.42,,7.2314,5.582,1.42,12,1.42,1,0,4.786999999999992,0.06206999999999992,6.386661676698591
2010,10,PARTICULARES,PERSONA F,BANCO COMERCIAL,HIPOTECAS,TIPO_VARIABLE,INMUEBLES,123077.68,1.495,,2.636,1.11,1.495,12,1.495,1,0,0.5174300000000008,0.02012430000000001,2.0310960801017464
