"DOCUMENTACIÓN","Tipo de interés. Nuevas operaciones. EC y EFC. TEDR. Hogares e ISFLSH. Crédito a la vivienda. Tipo medio ponderado"
"UNIDADES","Porcentaje"
"FRECUENCIA","Mensual"
"CÓDIGO DE IDENTIFICACIÓN","DN_1TI2T0002"
"NÚMERO SECUENCIAL","-"
"ALIAS","-"
"CÓDIGO DE UNIDADES","Porcentaje"
"EXPONENTE","-2"
"ene03",4.2051
"feb03",4.0621
"mar03",3.8986
"abr03",3.7856
"may03",3.7222
"jun03",3.6145
"jul03",3.4224
"ago03",3.3333
"sep03",3.3355
"oct03",3.3538
"nov03",3.3124
"dic03",3.3153
"ene04",3.3643
"feb04",3.3306
"mar04",3.2149
"abr04",3.1485
"may04",3.1025
"jun04",3.1361
"jul04",3.2174
"ago04",3.2696
"sep04",3.2712
"oct04",3.2791
"nov04",3.2955
"dic04",3.2259
"ene05",3.2596
"feb05",3.2762
"mar05",3.2585
"abr05",3.2520
"may05",3.2583
"jun05",3.2004
"jul05",3.1423
"ago05",3.1490
"sep05",3.1523
"oct05",3.1726
"nov05",3.2144
"dic05",3.3169
"ene06",3.4771
"feb06",3.6002
"mar06",3.6618
"abr06",3.7536
"may06",3.9038
"jun06",4.0043
"jul06",4.1065
"ago06",4.2340
"sep06",4.3477
"oct06",4.4580
"nov06",4.5392
"dic06",4.5564
"ene07",4.7136
"feb07",4.7853
"mar07",4.8409
"abr07",4.8987
"may07",4.9525
"jun07",5.0547
"jul07",5.1587
"ago07",5.2693
"sep07",5.3309
"oct07",5.4110
"nov07",5.4241
"dic07",5.3825
"ene08",5.4214
"feb08",5.4192
"mar08",5.2859
"abr08",5.2685
"may08",5.4370
"jun08",5.5905
"jul08",5.8069
"ago08",6.0292
"sep08",6.0485
"oct08",6.0729
"nov08",6.0245
"dic08",5.6470
"ene09",4.8361
"feb09",4.2374
"mar09",3.8027
"abr09",3.4510
"may09",3.2496
"jun09",3.0575
"jul09",2.9845
"ago09",2.8912
"sep09",2.7155
"oct09",2.6870
"nov09",2.6125
"dic09",2.5303
"ene10",2.5166
"feb10",2.5823
"mar10",2.5110
"abr10",2.4512
"may10",2.4174
"jun10",2.3586
"jul10",2.4589
"ago10",2.5534
"sep10",2.6060
"oct10",2.6360
"nov10",2.6568
"dic10",2.6032
"ene11",2.8804
"feb11",2.9821
"mar11",3.0656
"abr11",3.2106
"may11",3.3537
"jun11",3.4333
"jul11",3.4917
"ago11",3.5861
"sep11",3.5753
"oct11",3.6518
"nov11",3.6273
"dic11",3.5754
"ene12",3.7139
"feb12",3.7172
"mar12",3.6232
"abr12",3.4521
"may12",3.3613
"jun12",3.3114
"jul12",3.2562
"ago12",3.2112
"sep12",3.1036
"oct12",3.0749
"nov12",2.9665
"dic12",2.8074
"ene13",3.0318
"feb13",3.1345
"mar13",3.1168
"abr13",3.1036
"may13",3.0796
"jun13",3.0433
"jul13",3.0023
"ago13",3.0081
"sep13",3.0004
"oct13",2.9918
"nov13",3.0315
"dic13",2.9929
"ene14",3.1500
"feb14",3.1155
"mar14",3.1271
"abr14",3.0315
"may14",3.0104
"jun14",3.1098
"jul14",2.9438
"ago14",2.9316
"sep14",2.9595
"oct14",2.8743
"nov14",2.7247
"dic14",2.5581
"ene15",2.5762
"feb15",2.4936
"mar15",2.3348
"abr15",2.2814
"may15",2.2789
"jun15",2.1998
"jul15",2.1364
"ago15",2.2161
"sep15",2.1679
"oct15",2.1462
"nov15",2.1039
"dic15",1.9758
"ene16",2.0450
"feb16",2.0274
"mar16",1.9838
"abr16",2.0853
"may16",2.0498
"jun16",1.9876
"jul16",1.9821
"ago16",2.0318
"sep16",2.0362
"oct16",2.0171
"nov16",1.9716
"dic16",1.9144
"ene17",1.9925
"feb17",1.9812
"mar17",1.9380
"abr17",1.9216
"may17",1.9280
"jun17",1.9210
"jul17",1.9386
"ago17",2.0634
"sep17",1.9693
"oct17",1.9602
"nov17",1.9349
"dic17",1.8297
"ene18",1.9406
"feb18",1.9645
"mar18",1.9810
"abr18",1.9749
"may18",1.9401
"jun18",1.8999
"jul18",1.8915
"ago18",2.0291
"sep18",1.9600
"oct18",2.0023
"nov18",2.0276
"dic18",1.9905
"ene19",2.0900
"feb19",2.1215
"mar19",2.1262
"abr19",2.1465
"may19",2.1613
"jun19",2.0655
"jul19",1.9827
"ago19",1.9950
"sep19",1.8697
"oct19",1.8185
"nov19",1.7829
"dic19",1.6856
"ene20",1.8082
"feb20",1.8126
"mar20",1.8088
"abr20",1.7180
"may20",1.7522
"jun20",1.7822
"jul20",1.7462
"ago20",1.7841
"sep20",1.7184
"oct20",1.7074
"nov20",1.6465
"dic20",1.5110
"ene21",1.5590
"feb21",1.5313
"mar21",1.5419
"abr21",1.5231
"may21",1.4961
"jun21",1.4623
"jul21",1.4369
"ago21",1.5398
"sep21",1.4468
"oct21",1.4634
"nov21",1.4487
"dic21",1.3820
"ene22",1.4393
"feb22",1.5215
"mar22",1.5361
"abr22",1.5467
"may22",1.6487
"jun22",1.6974
"jul22",1.8029
"ago22",2.0334
"sep22",2.2211
"oct22",2.5434
"nov22",2.7354
"dic22",2.9614
"ene23",3.2503
"feb23",3.5167
"mar23",3.6287
"abr23",3.6942
"may23",3.7838
"jun23",3.8233
"jul23",3.8364
"ago23",3.9300
"sep23",3.9201
"oct23",3.9377
"nov23",3.8548
"dic23",3.7811
"ene24",3.6100
"feb24",3.6247
"mar24",3.4693
"abr24",3.4973
"may24",3.4732
"jun24",3.3684
"jul24",3.3331
"ago24",3.3760
"sep24",3.2619
"oct24",3.1955
"nov24",3.0447
"dic24",2.9044
"ene25",2.8850
"feb25",2.8746
"mar25",2.7977
"abr25",2.7519
"may25",2.7107
"jun25",2.6831
"jul25",2.6268
"ago25",2.6829
"sep25",2.6649
"oct25",2.6713
"nov25",2.6275
"dic25",2.6052
"ene26",2.6759
"feb26",2.7467
"mar26",2.7459
"FUENTE","-"
"NOTAS",""
